"ID_EMPRESA";"NEMO";"NAME";"CATEGORY";"PRECIO_ULT"
"LOC1";"ITAUCL.SN";"Itaú CorpBanca";"LOCAL";23800
"LOC2";"LTM.SN";"Latam Airlines";"LOCAL";28,3500003814697
"LOC3";"SQM-B.SN";"SQM B (Soquimich B)";"LOCAL";67700
"LOC4";"FALABELLA.SN";"Falabella";"LOCAL";6784
"LOC5";"CHILE.SN";"Banco de Chile";"LOCAL";198,990005493164
"LOC6";"CENCOSUD.SN";"Cencosud";"LOCAL";2925
"LOC7";"BSANTANDER.SN";"Banco Santander Chile";"LOCAL";76,8899993896484
"LOC8";"COPEC.SN";"Empresas Copec";"LOCAL";7450
"LOC9";"MALLPLAZA.SN";"Mall Plaza";"LOCAL";3800
"LOC10";"ENELCHILE.SN";"Enel Chile";"LOCAL";74,1500015258789
"LOC11";"BCI.SN";"Banco de Crédito e Inversiones";"LOCAL";64993
"LOC12";"CCU.SN";"Cervecerías (CCU)";"LOCAL";6416,10009765625
"LOC13";"CMPC.SN";"Empresas CMPC";"LOCAL";1309
"LOC14";"ENELAM.SN";"Enel Américas";"LOCAL";82,5100021362305
"LOC15";"VAPORES.SN";"Vapores (CSAV)";"LOCAL";48,0499992370605
"LOC16";"ANDINA-B.SN";"Embotelladora Andina B";"LOCAL";4589,89990234375
"LOC17";"AGUAS-A.SN";"Aguas Andinas";"LOCAL";385
"LOC18";"PARAUCO.SN";"Parque Arauco";"LOCAL";3715
"LOC19";"SMU.SN";"SMU";"LOCAL";163,789993286133
"LOC20";"COLBUN.SN";"Colbún";"LOCAL";144,800003051758
"LOC21";"CAP.SN";"CAP";"LOCAL";8250
"LOC22";"CONCHATORO.SN";"Viña Concha y Toro";"LOCAL";996,119995117188
"LOC23";"ENTEL.SN";"Entel";"LOCAL";4690
"LOC24";"QUINENCO.SN";"Quiñenco";"LOCAL";4525
"LOC25";"RIPLEY.SN";"Ripley Corp";"LOCAL";439,5
"LOC26";"ECL.SN";"Engie Energía Chile";"LOCAL";1549,59997558594
"LOC27";"CENCOMALLS.SN";"Cencosud Shopping";"LOCAL";2799,89990234375
"LOC28";"SALFACORP.SN";"Salfacorp";"LOCAL";1439
"LOC29";"ILC.SN";"Inversiones La Construcción";"LOCAL";21799
"LOC30";"IAM.SN";"Inversiones Aguas Metropolitanas";"LOCAL";1109,5
"LOC31";"ORO-BLANCO.SN";"Oro Blanco";"LOCAL";10,1999998092651
"LOC32";"SONDA.SN";"Sonda";"LOCAL";335,019989013672
"LOC33";"ANDINA-A.SN";"Embotelladora Andina A";"LOCAL";3799,89990234375
"LOC34";"EMBONOR-B.SN";"Embonor B";"LOCAL";1541,30004882812
"LOC35";"ENELGXCH.SN";"Enel Generación Chile";"LOCAL";499,609985351562
"LOC36";"HABITAT.SN";"AFP Habitat";"LOCAL";1490
"LOC37";"AAISA.SN";"Americana de Inversiones";"LOCAL";425,850006103516
"LOC38";"MASISA.SN";"Masisa";"LOCAL";16,6700000762939
"LOC39";"ZOFRI.SN";"Zofri";"LOCAL";1062,30004882812
"LOC40";"SQM-A.SN";"SQM A (Soquimich A)";"LOCAL";65940
"LOC41";"INVERCAP.SN";"Invercap";"LOCAL";2215
"LOC42";"SOQUICOM.SN";"SQM Comercial";"LOCAL";381,420013427734
"LOC43";"PROVIDA.SN";"AFP Provida";"LOCAL";5709,39990234375
"LOC44";"ABC.SN";"ABC";"LOCAL";15,3999996185303
"LOC45";"NITRATOS.SN";"Nitratos de Chile";"LOCAL";5
"LOC46";"SOCOVESA.SN";"Socovesa";"LOCAL";160
"LOC47";"ANTARCHILE.SN";"Antar Chile";"LOCAL";8626,900390625
"LOC48";"LAS-CONDES.SN";"Clinica Las Condes";"LOCAL";13100
"LOC49";"HITES.SN";"Hites";"LOCAL";126
"LOC50";"BESALCO.SN";"Besalco";"LOCAL";1400
"LOC51";"ALMENDRAL.SN";"Almendral";"LOCAL";33,1800003051758
"LOC52";"NORTEGRAN.SN";"Norte Grande";"LOCAL";13,710000038147
"LOC53";"MINERA.SN";"Minera Valparaiso";"LOCAL";13300
"LOC54";"FORUS.SN";"Forus";"LOCAL";2478,10009765625
"LOC55";"SK.SN";"Sigdo Koppers";"LOCAL";1699,90002441406
"LOC56";"MANQUEHUE.SN";"Inmobiliaria Manquehue";"LOCAL";125,930000305176
"LOC57";"INGEVEC.SN";"Ingevec";"LOCAL";204,639999389648
"LOC58";"PUCOBRE.SN";"Punta del Cobre";"LOCAL";17800
"LOC59";"EISA.SN";"Echeverría Izquierdo";"LOCAL";465,779998779297
"LOC60";"BANVIDA.SN";"Isapre Banvida";"LOCAL";762,580017089844
"LOC61";"MULTI-X.SN";"Multiexport Foods";"LOCAL";346
"LOC62";"ENAEX.SN";"Enaex";"LOCAL";24141
"LOC63";"WATTS.SN";"Watts";"LOCAL";766,25
"LOC64";"INDISA.SN";"Clinica Indisa";"LOCAL";2794,5
"LOC65";"PAZ.SN";"Paz Corp";"LOCAL";870,380004882812
"LOC66";"CAMANCHACA.SN";"Pesquera Camanchaca";"LOCAL";95,7600021362305
"LOC67";"TRICOT.SN";"Empresas Tricot";"LOCAL";650,320007324219
"EXT1";"NVDA";"NVIDIA";"EXTRANJERA";191,130004882812
"EXT2";"TSLA";"Tesla";"EXTRANJERA";430,410003662109
"EXT3";"INTC";"Intel Corporation";"EXTRANJERA";46,4700012207031
"EXT4";"F";"Ford Motor";"EXTRANJERA";13,8800001144409
"EXT5";"AAPL";"Apple Inc.";"EXTRANJERA";259,480010986328
"EXT6";"AMD";"Advanced Micro Devices";"EXTRANJERA";236,729995727539
"EXT7";"AMZN";"Amazon.com Inc.";"EXTRANJERA";239,300003051758
"EXT8";"PFE";"Pfizer";"EXTRANJERA";26,4400005340576
"EXT9";"BAC";"Bank of America";"EXTRANJERA";53,2000007629395
"EXT10";"T";"AT&T";"EXTRANJERA";26,2099990844727
"EXT11";"NFLX";"Netflix";"EXTRANJERA";83,4899978637695
"EXT12";"WBD";"Warner Bros. Discovery";"EXTRANJERA";27,5400009155273
"EXT13";"GOOGL";"Alphabet Inc. (Class A)";"EXTRANJERA";338
"EXT14";"AVGO";"Broadcom Inc.";"EXTRANJERA";331,299987792969
"EXT15";"CCL";"Carnival Corporation";"EXTRANJERA";30,0200004577637
"EXT16";"CMCSA";"Comcast Corp.";"EXTRANJERA";29,75
"EXT17";"MU";"Micron Technology";"EXTRANJERA";414,880004882812
"EXT18";"MSFT";"Microsoft Corporation";"EXTRANJERA";430,290008544922
"EXT19";"HBAN";"Huntington Bancshares";"EXTRANJERA";17,4799995422363
"EXT20";"GOOG";"Alphabet Inc. (Class C)";"EXTRANJERA";338,529998779297
"EXT21";"VZ";"Verizon Communications";"EXTRANJERA";44,5200004577637
"EXT22";"CSCO";"Cisco Systems";"EXTRANJERA";78,3199996948242
"EXT23";"WMT";"Walmart Inc.";"EXTRANJERA";119,139999389648
"EXT24";"WFC";"Wells Fargo";"EXTRANJERA";90,4899978637695
"EXT25";"KO";"Coca-Cola Company";"EXTRANJERA";74,8099975585938
"EXT26";"KEY";"KeyCorp";"EXTRANJERA";21,5200004577637
"EXT27";"C";"Citigroup";"EXTRANJERA";115,709999084473
"EXT28";"META";"Meta Platforms";"EXTRANJERA";716,5
"EXT29";"KMI";"Kinder Morgan";"EXTRANJERA";30,4899997711182
"EXT30";"CMG";"Chipotle Mexican Grill";"EXTRANJERA";38,8699989318848
"EXT31";"BMY";"Bristol Myers Squibb";"EXTRANJERA";55,0499992370605
"EXT32";"SLB";"SLB";"EXTRANJERA";48,3800010681152
"EXT33";"CSX";"CSX Corporation";"EXTRANJERA";37,7599983215332
"EXT34";"NCLH";"Norwegian Cruise Line Holdings";"EXTRANJERA";21,9599990844727
"EXT35";"NKE";"Nike Inc.";"EXTRANJERA";61,810001373291
"EXT36";"PYPL";"PayPal Holdings";"EXTRANJERA";52,689998626709
"EXT37";"MRK";"Merck & Co.";"EXTRANJERA";110,269996643066
"EXT38";"GM";"General Motors";"EXTRANJERA";84
"EXT39";"LRCX";"Lam Research";"EXTRANJERA";233,460006713867
"EXT40";"NEE";"NextEra Energy";"EXTRANJERA";87,9000015258789
"EXT41";"NEM";"Newmont";"EXTRANJERA";112,349998474121
"EXT42";"AES";"AES Corporation";"EXTRANJERA";14,6499996185303
"EXT43";"HAL";"Halliburton";"EXTRANJERA";33,5200004577637
"EXT44";"KHC";"Kraft Heinz";"EXTRANJERA";23,7399997711182
"EXT45";"OXY";"Occidental Petroleum";"EXTRANJERA";45,3899993896484
"EXT46";"ORCL";"Oracle";"EXTRANJERA";164,580001831055
"EXT47";"SBUX";"Starbucks";"EXTRANJERA";91,9499969482422
"EXT48";"CVS";"CVS Health";"EXTRANJERA";74,5199966430664
"EXT49";"DIS";"Walt Disney Company";"EXTRANJERA";112,800003051758
"EXT50";"RF";"Regions Financial";"EXTRANJERA";28,5
"EXT51";"LUV";"Southwest Airlines";"EXTRANJERA";47,5200004577637
"EXT52";"VTRS";"Viatris";"EXTRANJERA";13,0900001525879
"EXT53";"JPM";"JPMorgan Chase & Co.";"EXTRANJERA";305,890014648438
"EXT54";"DAL";"Delta Air Lines";"EXTRANJERA";65,8899993896484
"EXT55";"USB";"U.S. Bancorp";"EXTRANJERA";56,1100006103516
"EXT56";"MO";"Altria Group";"EXTRANJERA";61,9900016784668
"EXT57";"ANET";"Arista Networks";"EXTRANJERA";141,740005493164
"EXT58";"QCOM";"Qualcomm";"EXTRANJERA";151,589996337891
"EXT59";"SCHW";"Charles Schwab";"EXTRANJERA";103,919998168945
"EXT60";"CVX";"Chevron Corporation";"EXTRANJERA";176,899993896484
"EXT61";"HPQ";"HP Inc.";"EXTRANJERA";19,4400005340576
"EXT62";"TFC";"Truist Financial";"EXTRANJERA";51,4199981689453
"EXT63";"DVN";"Devon Energy";"EXTRANJERA";40,2099990844727
"EXT64";"JNJ";"Johnson & Johnson";"EXTRANJERA";227,25
"EXT65";"BA";"Boeing Company";"EXTRANJERA";233,720001220703
"EXT66";"ON";"ON Semiconductor";"EXTRANJERA";59,8899993896484
"EXT67";"MDLZ";"Mondelez International";"EXTRANJERA";58,4700012207031
"EXT68";"WDC";"Western Digital";"EXTRANJERA";250,229995727539
"EXT69";"MCHP";"Microchip Technology";"EXTRANJERA";75,9199981689453
"EXT70";"EQT";"EQT Corporation";"EXTRANJERA";57,7299995422363
"EXT71";"HST";"Host Hotels & Resorts";"EXTRANJERA";18,5300006866455
"EXT72";"MRNA";"Moderna Inc.";"EXTRANJERA";44,0699996948242
"EXT73";"DOW";"Dow Inc.";"EXTRANJERA";27,5499992370605
"EXT74";"PG";"Procter & Gamble";"EXTRANJERA";151,770004272461
"EXT75";"APH";"Amphenol";"EXTRANJERA";144,080001831055
"EXT76";"GILD";"Gilead Sciences";"EXTRANJERA";141,949996948242
"EXT77";"BKR";"Baker Hughes";"EXTRANJERA";56,0400009155273
"EXT78";"VFC";"VF Corporation";"EXTRANJERA";19,5900001525879
"EXT79";"UAL";"United Airlines Holdings";"EXTRANJERA";102,319999694824
"EXT80";"BSX";"Boston Scientific";"EXTRANJERA";93,5299987792969
"EXT81";"WMB";"Williams Companies";"EXTRANJERA";67,2600021362305
"EXT82";"NOW";"ServiceNow";"EXTRANJERA";117,01000213623
"EXT83";"EXC";"Exelon Corporation";"EXTRANJERA";44,7799987792969
"EXT84";"MDT";"Medtronic";"EXTRANJERA";102,959999084473
"EXT85";"CTRA";"Coterra Energy";"EXTRANJERA";28,8500003814697
"EXT86";"AMAT";"Applied Materials";"EXTRANJERA";322,320007324219
"EXT87";"PEP";"PepsiCo";"EXTRANJERA";153,630004882812
"EXT88";"APA";"APA Corporation";"EXTRANJERA";26,4099998474121
"EXT89";"COP";"ConocoPhillips";"EXTRANJERA";104,230003356934
"EXT90";"VICI";"VICI Properties";"EXTRANJERA";28,0799999237061
"EXT91";"CRM";"Salesforce Inc.";"EXTRANJERA";212,289993286133
"EXT92";"V";"Visa Inc.";"EXTRANJERA";321,829986572266
"EXT93";"FAST";"Fastenal";"EXTRANJERA";43,3600006103516
"EXT94";"NWL";"Newell Brands";"EXTRANJERA";4,25
"EXT95";"TXN";"Texas Instruments";"EXTRANJERA";215,550003051758
"EXT96";"MS";"Morgan Stanley";"EXTRANJERA";182,800003051758
"EXT97";"CAG";"Conagra Brands";"EXTRANJERA";18,5100002288818
"EXT98";"AA";"Alcoa";"EXTRANJERA";56,810001373291
"EXT99";"DOC";"Healthpeak Properties";"EXTRANJERA";17,2399997711182
"EXT100";"PANW";"Palo Alto Networks";"EXTRANJERA";176,970001220703
"EXT101";"DD";"DuPont";"EXTRANJERA";43,9199981689453
"EXT102";"MNST";"Monster Beverage";"EXTRANJERA";80,7600021362305
"EXT103";"ABT";"Abbott Laboratories";"EXTRANJERA";109,300003051758
"EXT104";"KR";"Kroger";"EXTRANJERA";62,8499984741211
"EXT105";"ABBV";"AbbVie";"EXTRANJERA";223,009994506836
"EXT106";"PM";"Philip Morris International";"EXTRANJERA";179,440002441406
"EXT107";"UNH";"UnitedHealth Group";"EXTRANJERA";286,929992675781
"EXT108";"RTX";"RTX Corporation";"EXTRANJERA";200,929992675781
"EXT109";"LVS";"Las Vegas Sands";"EXTRANJERA";52,7299995422363
"EXT110";"ORLY";"O'Reilly Automotive";"EXTRANJERA";98,4100036621094
"EXT111";"TGT";"Target";"EXTRANJERA";105,470001220703
"EXT112";"GE";"General Electric";"EXTRANJERA";306,790008544922
"EXT113";"TSCO";"Tractor Supply";"EXTRANJERA";50,8800010681152
"EXT114";"GLW";"Corning";"EXTRANJERA";103,25
"EXT115";"TJX";"TJX Companies";"EXTRANJERA";149,809997558594
"EXT116";"EBAY";"eBay Inc.";"EXTRANJERA";91,2200012207031
"EXT117";"CNC";"Centene";"EXTRANJERA";43,3199996948242
"EXT118";"PPL";"PPL Corporation";"EXTRANJERA";36,25
"EXT119";"UPS";"UPS";"EXTRANJERA";106,220001220703
"EXT120";"CPRT";"Copart Inc.";"EXTRANJERA";40,5800018310547
"EXT121";"CNP";"CenterPoint Energy";"EXTRANJERA";39,689998626709
"EXT122";"CL";"Colgate-Palmolive";"EXTRANJERA";90,2900009155273
"EXT123";"CZR";"Caesars Entertainment";"EXTRANJERA";20,7000007629395
"EXT124";"FTNT";"Fortinet";"EXTRANJERA";81,2600021362305
"EXT125";"MOS";"Mosaic Company";"EXTRANJERA";27,5
"EXT126";"SO";"Southern Company";"EXTRANJERA";89,3099975585938
"EXT127";"CARR";"Carrier Global";"EXTRANJERA";59,5800018310547
"EXT128";"D";"Dominion Energy";"EXTRANJERA";60,1699981689453
"EXT129";"CFG";"Citizens Financial Group";"EXTRANJERA";62,9799995422363
"EXT130";"FITB";"Fifth Third Bancorp";"EXTRANJERA";50,2200012207031
"EXT131";"GIS";"General Mills";"EXTRANJERA";46,2599983215332
"EXT132";"BAX";"Baxter International";"EXTRANJERA";20,0699996948242
"EXT133";"IP";"International Paper";"EXTRANJERA";40,3199996948242
"EXT134";"JCI";"Johnson Controls";"EXTRANJERA";119,26000213623
"EXT135";"BBWI";"Bath & Body Works";"EXTRANJERA";21,7999992370605
"EXT136";"MGM";"MGM Resorts International";"EXTRANJERA";33,5400009155273
"EXT137";"ABNB";"Airbnb Inc.";"EXTRANJERA";129,369995117188
"EXT138";"KIM";"Kimco Realty";"EXTRANJERA";21,0799999237061
"EXT139";"TMUS";"T‑Mobile US";"EXTRANJERA";197,210006713867
"EXT140";"AIG";"American International Group";"EXTRANJERA";74,879997253418
"EXT141";"MTCH";"Match Group";"EXTRANJERA";31,1499996185303
"EXT142";"BRK-B";"Berkshire Hathaway Class B";"EXTRANJERA";480,529998779297
"EXT143";"EW";"Edwards Lifesciences";"EXTRANJERA";81,3600006103516
"EXT144";"IBM";"IBM";"EXTRANJERA";306,700012207031
"EXT145";"NI";"NiSource";"EXTRANJERA";44,2900009155273
"EXT146";"WY";"Weyerhaeuser";"EXTRANJERA";25,7800006866455
"EXT147";"BEN";"Franklin Resources";"EXTRANJERA";26,6200008392334
"EXT148";"XEL";"Xcel Energy";"EXTRANJERA";76,0599975585938
"EXT149";"DXCM";"DexCom";"EXTRANJERA";73,0400009155273
"EXT150";"HON";"Honeywell International";"EXTRANJERA";227,520004272461
"EXT151";"BK";"Bank of New York Mellon";"EXTRANJERA";119,919998168945
"EXT152";"CTSH";"Cognizant Technology Solutions";"EXTRANJERA";82,0599975585938
"EXT153";"SYF";"Synchrony Financial";"EXTRANJERA";72,629997253418
"EXT154";"GEN";"Gen Digital";"EXTRANJERA";23,9899997711182
"EXT155";"PLD";"Prologis";"EXTRANJERA";130,559997558594
"EXT156";"SEDG";"SolarEdge Technologies";"EXTRANJERA";30,9500007629395
"EXT157";"TPR";"Tapestry";"EXTRANJERA";126,910003662109
"EXT158";"MMM";"3M Company";"EXTRANJERA";153,160003662109
"EXT159";"FE";"FirstEnergy";"EXTRANJERA";47,3400001525879
"EXT160";"INVH";"Invitation Homes";"EXTRANJERA";26,7299995422363
"EXT161";"HD";"Home Depot";"EXTRANJERA";374,589996337891
"EXT162";"CTVA";"Corteva";"EXTRANJERA";72,8000030517578
"EXT163";"FIS";"Fidelity National Information Services";"EXTRANJERA";55,25
"EXT164";"ADM";"Archer Daniels Midland";"EXTRANJERA";67,3099975585938
"EXT165";"ADI";"Analog Devices";"EXTRANJERA";310,880004882812
"EXT166";"SRE";"Sempra";"EXTRANJERA";87,0100021362305
"EXT167";"EL";"Estée Lauder Companies";"EXTRANJERA";115,279998779297
"EXT168";"AMCR";"Amcor";"EXTRANJERA";44,25
"EXT169";"ADBE";"Adobe Inc.";"EXTRANJERA";293,25
"EXT170";"CPB";"Campbell Soup";"EXTRANJERA";27,9799995422363
"EXT171";"MCD";"McDonald's Corporation";"EXTRANJERA";315
"EXT172";"EOG";"EOG Resources";"EXTRANJERA";112,129997253418
"EXT173";"OKE";"ONEOK";"EXTRANJERA";79,1900024414062
"EXT174";"LLY";"Eli Lilly";"EXTRANJERA";1037,15002441406
"EXT175";"FOXA";"Fox Corporation Class A";"EXTRANJERA";72,7799987792969
"EXT176";"FISV";"Fiserv";"EXTRANJERA";63,7299995422363
"EXT177";"DLTR";"Dollar Tree";"EXTRANJERA";117,589996337891
"EXT178";"DHR";"Danaher";"EXTRANJERA";218,889999389648
"EXT179";"BBY";"Best Buy";"EXTRANJERA";65,0999984741211
"EXT180";"DG";"Dollar General";"EXTRANJERA";143,429992675781
"EXT181";"DUK";"Duke Energy";"EXTRANJERA";121,349998474121
"EXT182";"AEP";"American Electric Power";"EXTRANJERA";119,779998779297
"EXT183";"COF";"Capital One Financial";"EXTRANJERA";218,929992675781
"EXT184";"ACN";"Accenture";"EXTRANJERA";263,640014648438
